tipo_cliente,metodo_pago,dispositivo,estado_red,region_fiscal,envio
Nuevo,Tarjeta,Movil,Buena,LATAM,Economico
Nuevo,Tarjeta,Movil,Buena,LATAM,Estandar
Nuevo,Tarjeta,Movil,Buena,LATAM,Express
Nuevo,Tarjeta,Movil,Buena,LATAM,Pickup
Nuevo,Tarjeta,Movil,Buena,EU,Economico
Nuevo,Tarjeta,Movil,Buena,EU,Estandar
Nuevo,Tarjeta,Movil,Buena,EU,Express
Nuevo,Tarjeta,Movil,Buena,EU,Pickup
Nuevo,Tarjeta,Movil,Buena,US,Economico
Nuevo,Tarjeta,Movil,Buena,US,Estandar
Nuevo,Tarjeta,Movil,Buena,US,Express
Nuevo,Tarjeta,Movil,Buena,US,Pickup
Nuevo,Tarjeta,Movil,Buena,APAC,Economico
Nuevo,Tarjeta,Movil,Buena,APAC,Estandar
Nuevo,Tarjeta,Movil,Buena,APAC,Express
Nuevo,Tarjeta,Movil,Buena,APAC,Pickup
Nuevo,Tarjeta,Movil,Media,LATAM,Economico
Nuevo,Tarjeta,Movil,Media,LATAM,Estandar
Nuevo,Tarjeta,Movil,Media,LATAM,Express
Nuevo,Tarjeta,Movil,Media,LATAM,Pickup
Nuevo,Tarjeta,Movil,Media,EU,Economico
Nuevo,Tarjeta,Movil,Media,EU,Estandar
Nuevo,Tarjeta,Movil,Media,EU,Express
Nuevo,Tarjeta,Movil,Media,EU,Pickup
Nuevo,Tarjeta,Movil,Media,US,Economico
Nuevo,Tarjeta,Movil,Media,US,Estandar
Nuevo,Tarjeta,Movil,Media,US,Express
Nuevo,Tarjeta,Movil,Media,US,Pickup
Nuevo,Tarjeta,Movil,Media,APAC,Economico
Nuevo,Tarjeta,Movil,Media,APAC,Estandar
Nuevo,Tarjeta,Movil,Media,APAC,Express
Nuevo,Tarjeta,Movil,Media,APAC,Pickup
Nuevo,Tarjeta,Movil,Lenta,LATAM,Economico
Nuevo,Tarjeta,Movil,Lenta,LATAM,Estandar
Nuevo,Tarjeta,Movil,Lenta,LATAM,Express
Nuevo,Tarjeta,Movil,Lenta,LATAM,Pickup
Nuevo,Tarjeta,Movil,Lenta,EU,Economico
Nuevo,Tarjeta,Movil,Lenta,EU,Estandar
Nuevo,Tarjeta,Movil,Lenta,EU,Express
Nuevo,Tarjeta,Movil,Lenta,EU,Pickup
Nuevo,Tarjeta,Movil,Lenta,US,Economico
Nuevo,Tarjeta,Movil,Lenta,US,Estandar
Nuevo,Tarjeta,Movil,Lenta,US,Express
Nuevo,Tarjeta,Movil,Lenta,US,Pickup
Nuevo,Tarjeta,Movil,Lenta,APAC,Economico
Nuevo,Tarjeta,Movil,Lenta,APAC,Estandar
