tipo_cliente,metodo_pago,dispositivo,estado_red,region_fiscal,envio
Nuevo,Tarjeta,Movil,Buena,LATAM,Economico
Nuevo,Tarjeta,Movil,Buena,LATAM,Estandar
Nuevo,Tarjeta,Movil,Buena,LATAM,Express
Nuevo,Tarjeta,Movil,Buena,LATAM,Pickup
Nuevo,Tarjeta,Movil,Buena,EU,Economico
Nuevo,Tarjeta,Movil,Buena,EU,Estandar
Nuevo,Tarjeta,Movil,Buena,EU,Express
Nuevo,Tarjeta,Movil,Buena,EU,Pickup
Nuevo,Tarjeta,Movil,Buena,US,Economico
Nuevo,Tarjeta,Movil,Buena,US,Estandar
Nuevo,Tarjeta,Movil,Buena,US,Express
Nuevo,Tarjeta,Movil,Buena,US,Pickup
Nuevo,Tarjeta,Movil,Buena,APAC,Economico
Nuevo,Tarjeta,Movil,Buena,APAC,Estandar
Nuevo,Tarjeta,Movil,Buena,APAC,Express
Nuevo,Tarjeta,Movil,Buena,APAC,Pickup
Nuevo,Tarjeta,Movil,Media,LATAM,Economico
Nuevo,Tarjeta,Movil,Media,LATAM,Estandar
Nuevo,Tarjeta,Movil,Media,LATAM,Express
Nuevo,Tarjeta,Movil,Media,LATAM,Pickup
Nuevo,Tarjeta,Movil,Media,EU,Economico
Nuevo,Tarjeta,Movil,Media,US,Economico
Nuevo,Tarjeta,Movil,Media,APAC,Economico
Nuevo,Tarjeta,Movil,Lenta,LATAM,Economico
Nuevo,Tarjeta,Movil,Lenta,LATAM,Estandar
Nuevo,Tarjeta,Movil,Lenta,LATAM,Express
Nuevo,Tarjeta,Movil,Lenta,LATAM,Pickup
Nuevo,Tarjeta,Movil,Lenta,EU,Economico
Nuevo,Tarjeta,Movil,Lenta,US,Economico
Nuevo,Tarjeta,Movil,Lenta,APAC,Economico
Nuevo,Tarjeta,Movil,Intermitente,LATAM,Economico
Nuevo,Tarjeta,Movil,Intermitente,LATAM,Estandar
Nuevo,Tarjeta,Movil,Intermitente,LATAM,Express
Nuevo,Tarjeta,Movil,Intermitente,LATAM,Pickup
Nuevo,Tarjeta,Movil,Intermitente,EU,Economico
Nuevo,Tarjeta,Movil,Intermitente,US,Economico
Nuevo,Tarjeta,Movil,Intermitente,APAC,Economico
Nuevo,Tarjeta,Movil,SinConexion,LATAM,Economico
Nuevo,Tarjeta,Movil,SinConexion,LATAM,Estandar
Nuevo,Tarjeta,Movil,SinConexion,LATAM,Express
Nuevo,Tarjeta,Movil,SinConexion,LATAM,Pickup
Nuevo,Tarjeta,Movil,SinConexion,EU,Economico
Nuevo,Tarjeta,Movil,SinConexion,US,Economico
Nuevo,Tarjeta,Movil,SinConexion,APAC,Economico
Nuevo,Tarjeta,Desktop,Buena,LATAM,Economico
